CUENTA	DESCRIPCION	RUBRO
111.010102          	CAJEROS DE VENTANILLA-ZONA NORTE                                                                                                                      	1110101000001       
111.010102.01       	CAJEROS VENTANILLA-AGENCIA SANTA ANITA-SPS                                                                                                            	1110101000001       
111.010102.02       	CAJEROS VENTANILLA-AGENCIA SATELITE-SPS                                                                                                               	1110101000001       
111.010102.03       	CAJEROS VENTANILLA-AGENCIA MEDINA CONCEPCION-SPS                                                                                                      	1110101000001       
111.010102.04       	CAJEROS VENTANILLA-AGENCIA VILLANUEVA-CORTES                                                                                                          	1110101000001       
111.010102.05       	CAJEROS VENTANILLA-AGENCIA PUERTO CORTES-CORTES                                                                                                       	1110101000001       
111.010102.06       	CAJEROS VENTANILLA-AGENCIA PROGRESO-CORTES                                                                                                            	1110101000001       
111.010102.07       	CAJEROS VENTANILLA-AGENCIA LA CEIBA-CORTES                                                                                                            	1110101000001       
111.010102.08       	CAJEROS VENTANILLA-AGENCIA TOCOA-CORTES                                                                                                               	1110101000001       
111.010102.09       	CAJEROS VENTANILLA-AGENCIA YORO-YORO                                                                                                                  	1110101000001       
111.010102.11       	CAJEROS VENTANILLA-AGENCIA CHOLOMA-CORTES                                                                                                             	1110101000001       
111.010102.12       	CAJEROS VENTANILLA - CN PEÑA BLANCA                                                                                                                   	1110101000001       
111.010102.13       	CAJEROS VENTANILLA-AGENCIA OLANCHITO                                                                                                                  	1110101000001       
111.010102.14       	CAJEROS VENTANILLA-AGENCIA TELA                                                                                                                       	1110101000001       
111.010102.15       	CAJEROS VENTANILLA-AGENCIA MEGAMALL                                                                                                                   	1110101000001       
111.010102.16       	CAJEROS VENTANILLA - CN CUYAMEL OMOA                                                                                                                  	1110101000001       
111.010102.17       	CAJEROS VENTANILLA - AG PEÑA BLANCA                                                                                                                   	1110101000001       
111.010102.18       	CAJEROS VENTANILLA-CN MORAZAN                                                                                                                         	1110101000001       
111.010102.19       	CAJEROS VENTANILLA-CN SONAGUERA                                                                                                                       	1110101000001       
111.010102.20       	CAJEROS VENTANILLA-CN COFRADÍA                                                                                                                        	1110101000001       
111.010103          	CAJEROS DE VENTANILLA-ZONA SUR                                                                                                                        	1110101000001       
111.010103.01       	CAJEROS VENTANILLA-AGENCIA CHOLUTECA-CHOLUTECA                                                                                                        	1110101000001       
111.010103.02       	CAJEROS VENTANILLA-AGENCIA NACAOME                                                                                                                    	1110101000001       
111.010103.03       	CAJEROS VENTANILLA-CN EL TRIUNFO                                                                                                                      	1110101000001       
111.010104          	CAJEROS VENTANILLA-ZONA ORIENTE                                                                                                                       	1110101000001       
111.010104.01       	CAJEROS VENTANILLA-AGENCIA DANLI-ORIENTE                                                                                                              	1110101000001       
111.010104.03       	CAJEROS VENTANILLA-AGENCIA JUTICALPA                                                                                                                  	1110101000001       
111.010104.04       	CAJEROS VENTANILLA-AGENCIA CATACAMAS                                                                                                                  	1110101000001       
111.010104.05       	CAJEROS VENTANILLA-AGENCIA SAN ESTEBAN                                                                                                                	1110101000001       
111.010104.06       	CAJEROS VENTANILLA-CN TROJES                                                                                                                          	1110101000001       
111.010104.07       	CAJEROS VENTANILLA-CN CULMÍ                                                                                                                           	1110101000001       
111.010104.08       	CAJEROS VENTANILLA-CN CAMPAMENTO                                                                                                                      	1110101000001       
111.010105          	CAJEROS VENTANILLA-ZONA OCCIDENTE                                                                                                                     	1110101000001       
111.010105.01       	CAJEROS VENTANILLA-AGENCIA LA ENTRADA COPAN-COPAN                                                                                                     	1110101000001       
111.010105.02       	CAJEROS VENTANILLA-AGENCIA SANTA ROSA DE COPAN-COPAN                                                                                                  	1110101000001       
111.010105.03       	CAJEROS VENTANILLA-AGENCIA SANTA BARBARA                                                                                                              	1110101000001       
111.010105.04       	CAJEROS VENTANILLA-AGENCIA LA FLECHA STA BARBARA                                                                                                      	1110101000001       
111.010105.05       	CAJEROS VENTANILLA-AGENCIA GRACIAS/LEMPIRA                                                                                                            	1110101000001       
111.010105.06       	CAJEROS VENTANILLA-CN SAN LUIS STA. BARBARA                                                                                                           	1110101000001       
111.010105.07       	CAJEROS VENTANILLA-AGENCIA SAN MARCOS OCOTEPEQUE                                                                                                      	1110101000001       
111.0102            	CAJEROS AUTOMATICOS                                                                                                                                   	1110102000000       
111.0103            	DIVISA DEL SISTEMA DE SUBASTAS                                                                                                                        	1110103000000       
111.010301          	CAJA MOV.DIARIO-SUBASTA-ZONA CENTRO                                                                                                                   	1110103000001       
111.010301.01       	CAJA MOV.DIARIO-SUBASTA-OFIC.PRINC.-TEGA                                                                                                              	1110103000001       
111.010301.02       	CAJA MOV.DIARIO-SUBASTA-AG.KENNEDY-TEGA                                                                                                               	1110103000001       
111.010301.03       	CAJA MOV.DIARIO-SUBASTA-AG.SAN ISIDRO-TEGA                                                                                                            	1110103000001       
111.010301.04       	CAJA MOV.DIARIO-SUBASTA-AG.CENTRO-TEGA                                                                                                                	1110103000001       
111.010301.05       	CAJA MOV.DIARIO-SUBASTA-AG.SANTA FE-TEGA                                                                                                              	1110103000001       
111.010301.06       	CAJA MOV.DIARIO-SUBASTA-AG.PEDREGAL-TEGA                                                                                                              	1110103000001       
111.010301.07       	CAJA MOV.DIARIO-SUBASTA-AVE.LA PAZ-TEGA                                                                                                               	1110103000001       
111.010301.08       	CAJA MOV.DIARIO-SUBASTA-AG.COMAYAGUA-COMAY.                                                                                                           	1110103000001       
111.010301.09       	CAJA MOV.DIARIO-SUBASTA-AG.SIGUATEPEQUE-COMAY.                                                                                                        	1110103000001       
111.010301.10       	CAJA MOV.DIARIO-SUBASTA-AGENCIA MALL PREMIER-COMAYAGUELA                                                                                              	1110103000001       
111.010301.11       	CAJA MOV.DIARIO-SUBASTA-CN SAN LUIS COMAYAGUA                                                                                                         	1110103000001       
111.010301.12       	CAJA MOV.DIARIO-SUBASTA-AGENCIA TALANGA                                                                                                               	1110103000001       
111.010301.13       	CAJA MOV.DIARIO-SUBASTA-CN LA ESPERANZA                                                                                                               	1110103000001       
111.010302          	CAJA MOV.DIARIO-SUBASTA-ZONA NORTE                                                                                                                    	1110103000001       
111.010302.01       	CAJA MOV.DIARIO-SUBASTA-AGENCIA SANTA ANITA-SPS                                                                                                       	1110103000001       
111.010302.02       	CAJA MOV.DIARIO-SUBASTA-AGENCIA SATELITE-SPS                                                                                                          	1110103000001       
111.010302.03       	CAJA MOV.DIARIO-SUBASTA-AGENCIA MEDINA CONCEPCION-SPS                                                                                                 	1110103000001       
111.010302.04       	CAJA MOV.DIARIO-SUBASTA-AGENCIA VILLANUEVA-CORTES                                                                                                     	1110103000001       
111.010302.05       	CAJA MOV.DIARIO-SUBASTA-AGENCIA PUERTO CORTES-CORTES                                                                                                  	1110103000001       
111.010302.06       	CAJA MOV.DIARIO-SUBASTA-AGENCIA PROGRESO-CORTES                                                                                                       	1110103000001       
111.010302.07       	CAJA MOV.DIARIO-SUBASTA-AGENCIA LA CEIBA-CORTES                                                                                                       	1110103000001       
111.010302.08       	CAJA MOV.DIARIO-SUBASTA-AGENCIA TOCOA-CORTES                                                                                                          	1110103000001       
111.010302.09       	CAJA MOV.DIARIO-SUBASTA-AGENCIA YORO-YORO                                                                                                             	1110103000001       
111.010302.11       	CAJA MOV.DIARIO-SUBASTA-AGENCIA CHOLOMA-CORTES                                                                                                        	1110103000001       
111.010302.12       	CAJA MOV.DIARIO-SUBASTA-CN PEÑA BLANCA                                                                                                                	1110103000001       
111.010302.13       	CAJA MOV.DIARIO-SUBASTA-AGENCIA OLANCHITO                                                                                                             	1110103000001       
111.010302.14       	CAJA MOV.DIARIO-SUBASTA-AGENCIA TELA                                                                                                                  	1110103000001       
111.010302.15       	CAJA MOV.DIARIO-SUBASTA-AGENCIA MEGAMALL                                                                                                              	1110103000001       
111.010302.16       	CAJA MOV.DIARIO-SUBASTA-CN CUYAMEL OMOA                                                                                                               	1110103000001       
111.010302.17       	CAJA MOV.DIARIO-SUBASTA-AGENCIA PEÑA BLANCA                                                                                                           	1110103000001       
111.010302.18       	CAJA MOV.DIARIO-SUBASTA-CN MORAZÁN                                                                                                                    	1110103000001       
111.010302.19       	CAJA MOV.DIARIO-SUBASTA-CN SONAGUERA                                                                                                                  	1110103000001       
111.010302.20       	CAJA MOV.DIARIO-SUBASTA-CN COFRADÍA                                                                                                                   	1110103000001       
111.010303          	CAJA MOV.DIARIO-SUBASTA-ZONA SUR                                                                                                                      	1110103000001       
111.010303.01       	CAJA MOV.DIARIO-SUBASTA-AGENCIA CHOLUTECA                                                                                                             	1110103000001       
111.010303.02       	CAJA MOV.DIARIO-SUBASTA-AGENCIA NACAOME                                                                                                               	1110103000001       
111.010303.03       	CAJA MOV.DIARIO-SUBASTA-CN EL TRIUNFO                                                                                                                 	1110103000001       
111.010304          	CAJA MOV.DIARIO-SUBASTA-ZONA ORIENTE                                                                                                                  	1110103000001       
111.010304.01       	CAJA MOV.DIARIO-SUBASTA-AGENCIA DANLI                                                                                                                 	1110103000001       
111.010304.03       	CAJA MOV.DIARIO-SUBASTA-AGENCIA JUTICALPA                                                                                                             	1110103000001       
111.010304.04       	CAJA MOV.DIARIO-SUBASTA-AGENCIA CATACAMAS                                                                                                             	1110103000001       
111.010304.05       	CAJA MOV.DIARIO-SUBASTA-AGENCIA SAN ESTEBAN                                                                                                           	1110103000001       
111.010304.06       	CAJA MOV.DIARIO-SUBASTA-CN TROJES                                                                                                                     	1110103000001       
111.010304.07       	CAJA MOV.DIARIO-SUBASTA-CN CULMÍ                                                                                                                      	1110103000001       
111.010304.08       	CAJA MOV.DIARIO-SUBASTA-CN CAMPAMENTO                                                                                                                 	1110103000001       
111.010305          	CAJA MOV.DIARIO-SUBASTA-ZONA OCCIDENTE                                                                                                                	1110103000001       
111.010305.01       	CAJA MOV.DIARIO-SUBASTA-AGENCIA LA ENTRADA COPAN-COPAN                                                                                                	1110103000001       
111.010305.02       	CAJA MOV.DIARIO-SUBASTA-AGENCIA SANTA ROSA DE COPAN-COPAN                                                                                             	1110103000001       
111.010305.03       	CAJA MOV.DIARIO-SUBASTA-AGENCIA SANTA BARBARA                                                                                                         	1110103000001       
111.010305.04       	CAJA MOV.DIARIO-SUBASTA-AGENCIA LA FLECHA STA BARBARA                                                                                                 	1110103000001       
111.010305.05       	CAJA MOV.DIARIO-SUBASTA-AGENCIA GRACIAS/LEMPIRA                                                                                                       	1110103000001       
111.010305.06       	CAJA MOV.DIARIO-SUBASTA-CN SAN LUIS STA. BARBARA                                                                                                      	1110103000001       
111.010305.07       	CAJA MOV.DIARIO-SUBASTA-AGENCIA SAN MARCOS                                                                                                            	1110103000001       
111.02              	CAJA DE RESERVA                                                                                                                                       	1110200000000       
111.0201            	CAJA DE RESERVA-M/N                                                                                                                                   	1110201000000       
111.020101          	CAJA DE RESERVA-ZONA CENTRO                                                                                                                           	1110201000001       
111.020101.01       	CAJA DE RESERVA-OFIC.PRINCIPAL-TEGA                                                                                                                   	1110201000001       
111.020101.02       	CAJA DE RESERVA-AGENCIA KENNEDY-TEGA                                                                                                                  	1110201000001       
111.020101.03       	CAJA DE RESERVA-AGENCIA SAN ISIDRO-COMAYAGUELA                                                                                                        	1110201000001       
111.020101.04       	CAJA DE RESERVA-AGENCIA CENTRO-TEGA                                                                                                                   	1110201000001       
111.020101.05       	CAJA DE RESERVA-AGENCIA SANTA FE-COMAYAGUELA                                                                                                          	1110201000001       
111.020101.06       	CAJA DE RESERVA-AGENCIA PEDREGAL-COMAYAGUELA                                                                                                          	1110201000001       
111.020101.07       	CAJA DE RESERVA-AGENCIA AVE.LA PAZ-TEGUCIGALPA                                                                                                        	1110201000001       
111.020101.08       	CAJA DE RESERVA-AGENCIA COMAYAGUA-COMAYAGUA                                                                                                           	1110201000001       
111.020101.09       	CAJA DE RESERVA-AGENCIA SIGUATEPEQUE-COMAYAGUA                                                                                                        	1110201000001       
111.020101.10       	CAJA DE RESERVA-AGENCIA MALL PREMIER                                                                                                                  	1110201000001       
111.020101.11       	CAJA DE RESERVA-CN SAN LUIS COMAYAGUA                                                                                                                 	1110201000001       
111.020101.12       	CAJA DE RESERVA-AGENCIA TALANGA                                                                                                                       	1110201000001       
111.020101.13       	CAJA DE RESERVA-CN LA ESPERANZA                                                                                                                       	1110201000001       
111.020102          	CAJA DE RESERVA-ZONA NORTE                                                                                                                            	1110201000001       
111.020102.01       	CAJA DE RESERVA-AGENCIA SANTA ANITA-SPS                                                                                                               	1110201000001       
111.020102.02       	CAJA DE RESERVA-AGENCIA SATELITE-S.P.S.                                                                                                               	1110201000001       
111.020102.03       	CAJA DE RESERVA-AGENCIA MEDINA CONCEPCION-SPS                                                                                                         	1110201000001       
111.020102.04       	CAJA DE RESERVA-AGENCIA VILLANUEVA-CORTES                                                                                                             	1110201000001       
111.020102.05       	CAJA DE RESERVA-AGENCIA PUERTO CORTES-CORTES                                                                                                          	1110201000001       
111.020102.06       	CAJA DE RESERVA-AGENCIA PROGRESO-CORTES                                                                                                               	1110201000001       
111.020102.07       	CAJA DE RESERVA-AGENCIA LA CEIBA-CORTES                                                                                                               	1110201000001       
111.020102.08       	CAJA DE RESERVA-AGENCIA TOCOA-CORTES                                                                                                                  	1110201000001       
111.020102.09       	CAJA DE RESERVA-AGENCIA YORO-YORO                                                                                                                     	1110201000001       
111.020102.11       	CAJA DE RESERVA-AGENCIA CHOLOMA-CORTES                                                                                                                	1110201000001       
111.020102.12       	CAJA DE RESERVA-CN PEÑA BLANCA                                                                                                                        	1110201000001       
111.020102.13       	CAJA DE RESERVA-AGENCIA OLANCHITO                                                                                                                     	1110201000001       
111.020102.14       	CAJA DE RESERVA-AGENCIA TELA                                                                                                                          	1110201000001       
111.020102.15       	CAJA DE RESERVA-AGENCIA MEGAMALL                                                                                                                      	1110201000001       
111.020102.16       	CAJA DE RESERVA-CN CUYAMEL OMOA                                                                                                                       	1110201000001       
111.020102.17       	CAJA DE RESERVA-AG PEÑA BLANCA                                                                                                                        	1110201000001       
111.020102.18       	CAJA DE RESERVA-CN MORAZÁN                                                                                                                            	1110201000001       
111.020102.19       	CAJA DE RESERVA-CN SONAGUERA                                                                                                                          	1110201000001       
111.020102.20       	CAJA DE RESERVA-CN COFRADÍA                                                                                                                           	1110201000001       
111.020103          	CAJA DE RESERVA-ZONA SUR                                                                                                                              	1110201000001       
111.020103.01       	CAJA DE RESERVA-AGENCIA CHOLUTECA-CHOLUTECA                                                                                                           	1110201000001       
111.020103.02       	CAJA DE RESERVA-AGENCIA NACAOME                                                                                                                       	1110201000001       
111.020103.03       	CAJA DE RESERVA-CN EL TRIUNFO                                                                                                                         	1110201000001       
111.020104          	CAJA DE RESERVA-ZONA ORIENTE                                                                                                                          	1110201000001       
111.020104.01       	CAJA DE RESERVA-AGENCIA DANLI-EL PARAISO                                                                                                              	1110201000001       
111.020104.03       	CAJA DE RESERVA-AGENCIA JUTICALPA                                                                                                                     	1110201000001       
111.020104.04       	CAJA DE RESERVA-AGENCIA CATACAMAS                                                                                                                     	1110201000001       
111.020104.05       	CAJA DE RESERVA-AGENCIA SAN ESTEBAN                                                                                                                   	1110201000001       
111.020104.06       	CAJA DE RESERVA-CN TROJES                                                                                                                             	1110201000001       
111.020104.07       	CAJA DE RESERVA-CN CULMÍ                                                                                                                              	1110201000001       
111.020104.08       	CAJA DE RESERVA-CN CAMPAMENTO                                                                                                                         	1110201000001       
111.020105          	CAJA DE RESERVA-ZONA OCCIDENTE                                                                                                                        	1110201000001       
111.020105.01       	CAJA DE RESERVA-AGENCIA LA ENTRADA COPAN-COPAN                                                                                                        	1110201000001       
111.020105.02       	CAJA DE RESERVA-AGENCIA SANTA ROSA DE COPAN-COPAN                                                                                                     	1110201000001       
111.020105.03       	CAJA DE RESERVA-AGENCIA SANTA BARBARA                                                                                                                 	1110201000001       
111.020105.04       	CAJA DE RESERVA-AGENCIA LA FLECHA STA BARBARA                                                                                                         	1110201000001       
111.020105.05       	CAJA DE RESERVA-AGENCIA GRACIAS/LEMPIRA                                                                                                               	1110201000001       
111.020105.06       	CAJA DE RESERVA- CN SAN LUIS STA BARBARA                                                                                                              	1110201000001       
111.020105.07       	CAJA DE RESERVA-AGENCIA SAN MARCOS OCOTEPEQUE                                                                                                         	1110201000001       
111.0202            	DIVISAS DEL SISTEMA DE SUBASTA                                                                                                                        	1110201000001       
111.020201          	CAJA RESERVA-SUBASTA-ZONA CENTRO                                                                                                                      	1110201000001       
111.020201.01       	CAJA RESERVA-SUBASTA-OFIC.PRINCIPAL                                                                                                                   	1110202010001       
111.020201.02       	CAJA RESERVA-SUBASTA-AGENCIA KENNEDY                                                                                                                  	1110202010001       
111.020201.03       	CAJA RESERVA-SUBASTA-AGENCIA SAN ISIDRO                                                                                                               	1110202010001       
111.020201.04       	CAJA RESERVA-SUBASTA-AGENCIA CENTRO                                                                                                                   	1110202010001       
111.020201.05       	CAJA RESERVA-SUBASTA-AGENCIA BELEN                                                                                                                    	1110202010001       
111.020201.06       	CAJA RESERVA-SUBASTA-AGENCIA PEDREGAL                                                                                                                 	1110202010001       
111.020201.07       	CAJA RESERVA-SUBASTA-AGENCIA AVENIDA LA PAZ                                                                                                           	1110202010001       
111.020201.08       	CAJA RESERVA-SUBASTA-AGENCIA COMAYAGUA                                                                                                                	1110202010001       
111.020201.09       	CAJA RESERVA-SUBASTA-AGENCIA SIGUATEPEQUE                                                                                                             	1110202010001       
111.020201.10       	CAJA RESERVA-SUBASTA-AGENCIA MALL PREMIER                                                                                                             	1110202010001       
111.020201.11       	CAJA RESERVA-SUBASTA-CN SAN LUIS COMAYAGUA                                                                                                            	1110202010001       
111.020201.12       	CAJA RESERVA-SUBASTA-AGENCIA TALANGA                                                                                                                  	1110202010001       
111.020201.13       	CAJA RESERVA-SUBASTA-CN LA ESPERANZA                                                                                                                  	1110202010001       
111.020201.90       	CAJA RESERVA-SUBASTA TRANSITORIA-TGU                                                                                                                  	1110202010001       
111.020202          	CAJA RESERVA-SUBASTA-ZONA NORTE                                                                                                                       	1110202000000       
111.020202.01       	CAJA RESERVA-SUBASTA-AGENCIA SANTA ANITA-SPS                                                                                                          	1110202010001       
111.020202.02       	CAJA RESERVA-SUBASTA-AGENCIA SATELITE-SPS                                                                                                             	1110202010001       
111.020202.03       	CAJA RESERVA-SUBASTA-AGENCIA MEDINA CONCEPCION-SPS                                                                                                    	1110202010001       
111.020202.04       	CAJA RESERVA-SUBASTA-AGENCIA VILLANUEVA SPS                                                                                                           	1110202010001       
111.020202.05       	CAJA RESERVA-SUBASTA-AGENCIA PUERTO CORTES SPS                                                                                                        	1110202010001       
111.020202.06       	CAJA RESERVA-SUBASTA-AGENCIA PROGRESO-YORO                                                                                                            	1110202010001       
111.020202.07       	CAJA RESERVA-SUBASTA-AGENCIA CEIBA-ATLANTIDA                                                                                                          	1110202010001       
111.020202.08       	CAJA RESERVA-SUBASTA-AGENCIA TOCOA-COLON                                                                                                              	1110202010001       
111.020202.09       	CAJA RESERVA-SUBASTA-AGENCIA YORO-YORO                                                                                                                	1110202010001       
111.020202.11       	CAJA RESERVA-SUBASTA-AGENCIA CHOLOMA CORTES                                                                                                           	1110202010001       
111.020202.12       	CAJA RESERVA-SUBASTA-CN PEÑA BLANCA                                                                                                                   	1110202010001       
111.020202.13       	CAJA RESERVA-SUBASTA-AGENCIA OLANCHITO                                                                                                                	1110202010001       
111.020202.14       	CAJA RESERVA-SUBASTA-AGENCIA TELA                                                                                                                     	1110202010001       
111.020202.15       	CAJA RESERVA-SUBASTA-AGENCIA MEGAMALL                                                                                                                 	1110202010001       
111.020202.16       	CAJA RESERVA-SUBASTA-CN CUYAMEL OMOA                                                                                                                  	1110202010001       
111.020202.17       	CAJA RESERVA-SUBASTA-AG PEÑA BLANCA                                                                                                                   	1110202010001       
111.020202.18       	CAJA RESERVA-SUBASTA-CN MORAZAN--YORO                                                                                                                 	1110202010001       
111.020202.19       	CAJA RESERVA-SUBASTA-CN SONAGUERA                                                                                                                     	1110202010001       
111.020202.20       	CAJA RESERVA-SUBASTA-CN COFRADÍA                                                                                                                      	1110202010001       
111.020203          	CAJA RESERVA-SUBASTA-ZONA SUR                                                                                                                         	1110202010001       
111.020203.01       	CAJA RESERVA-SUBASTA-AGENCIA CHOLUTECA                                                                                                                	1110202010001       
111.020203.02       	CAJA RESERVA-SUBASTA-AGENCIA NACAOME-VALLE                                                                                                            	1110202010001       
111.020203.03       	CAJA RESERVA-SUBASTA-CN EL TRIUNFO--CHOLUTECA                                                                                                         	1110202010001       
111.020204          	CAJA RESERVA-SUBASTA-ZONA ORIENTE                                                                                                                     	1110202010001       
111.020204.01       	CAJA RESERVA-SUBASTA-AGENCIA DANLI-EL PARAISO                                                                                                         	1110202010001       
111.020204.03       	CAJA RESERVA-SUBASTA-AGENCIA JUTICALPA-OLANCHO                                                                                                        	1110202010001       
111.020204.04       	CAJA RESERVA-SUBASTA-AGENCIA CATACAMAS-OLANCHO                                                                                                        	1110202010001       
111.020204.05       	CAJA RESERVA-SUBASTA-AGENCIA SAN ESTEBAN-OLANCHO                                                                                                      	1110202010001       
111.020204.06       	CAJA RESERVA-SUBASTA-CN TROJES--EL PARAISO                                                                                                            	1110202010001       
111.020204.07       	CAJA RESERVA-SUBASTA-CN CULMI--OLANCHO                                                                                                                	1110202010001       
111.020204.08       	CAJA RESERVA-SUBASTA-CN CAMPAMENTO--OLANCHO                                                                                                           	1110202010001       
111.020205          	CAJA RESERVA-SUBASTA-ZONA OCCIDENTE-M/E                                                                                                               	1110202010001       
111.020205.01       	CAJA RESERVA-SUBASTA-AGENCIA LA ENTRADA COPAN                                                                                                         	1110202010001       
111.020205.02       	CAJA RESERVA-SUBASTA-AGENCIA SANTA ROSA DE COPAN                                                                                                      	1110202010001       
111.020205.03       	CAJA RESERVA-SUBASTA-AGENCIA SANTA BARBARA                                                                                                            	1110202010001       
111.020205.04       	CAJA RESERVA-SUBASTA-AGENCIA LA FLECHA SANTA BARBA                                                                                                    	1110202010001       
111.020205.05       	CAJA RESERVA-SUBASTA-AGENCIA GRACIAS/LEMPIRA                                                                                                          	1110202010001       
111.020205.06       	CAJA RESERVA-SUBASTA-CN SAN LUIS STA. BARBARA                                                                                                         	1110202010001       
111.020205.07       	CAJA RESERVA-SUBASTA-AGENCIA SAN MARCOS OCOTEPEQUE                                                                                                    	1110202010001       
111.020206          	DISPONIBILIDAD PARA COMPRA/VENTA DE USD                                                                                                               	1110202060000       
111.020206.01       	DISPONIBILIDAD PARA COMPRA/VENTA DE USD EN LINEA                                                                                                      	1110202060001       
1111.010104         	CAJEROS DE VENTANILLA-ZONA ORIENTE                                                                                                                    	1110101000001       
112                 	DEPOSITOS EN EL BANCO CENTRAL DE HONDURAS                                                                                                             	1120000000000       
